Player Name,Club,Age at Time of Transfer,Year of Transfer,Transfer Price
Luis Suárez,Barcelona,27,2014,€81.72M
Ivan Rakitić,Barcelona,26,2014,€18M
Arthur,Barcelona,21,2018,€31M
Frenkie de Jong,Barcelona,22,2019,€75M
Robert Lewandowski,Barcelona,33,2022,€45M
Eden Hazard,Real Madrid,28,2019,€120.80M
Jude Bellingham,Real Madrid,20,2023,€103M
Aurélien Tchouaméni,Real Madrid,22,2022,€80M
Rodrygo,Real Madrid,18,2019,€45M
Vinicius Junior,Real Madrid,18,2018,€45M
Jack Grealish,Manchester City,25,2021,€117.50M
Josko Gvardiol,Manchester City,21,2023,€90.00M
Kevin De Bruyne,Manchester City,24,2015,€76.00M
Rúben Dias,Manchester City,23,2020,€71.60M
Rodri,Manchester City,23,2019,€70.00M
Riyad Mahrez,Manchester City,27,2018,€67.80M
João Cancelo,Manchester City,25,2019,€65.00M
Aymeric Laporte,Manchester City,23,2018,€65.00M
Raheem Sterling,Manchester City,20,2015,€63.70M
Erling Haaland,Manchester City,21,2022,€60.00M
Paul Pogba,Manchester United,23,2016,€105.00M
Antony,Manchester United,22,2022,€95.00M
Harry Maguire,Manchester United,26,2019,€87.00M
Jadon Sancho,Manchester United,21,2021,€85.00M
Romelu Lukaku,Manchester United,24,2017,€84.70M
Ángel Di María,Manchester United,26,2014,€75.00M
Rasmus Højlund,Manchester United,20,2023,€73.90M
Casemiro,Manchester United,30,2022,€70.65M
Bruno Fernandes,Manchester United,25,2019,€65.00M
Mason Mount,Manchester United,24,2023,€64.20M
